10656
ATR-X syndrome	C538258
Chronic Kidney Disease-Mineral and Bone Disorder	D012080
RPGN	D005921
Erythema Multiforme	D004892
neonatal apnea	D001049
Bone Fragility with Contractures, Arterial Rupture, and Deafness	C567320
fits	D012640
Craniopharyngioma	D003397
pulmonary hypertension	D006976
squamous cell cervical carcinoma	D002583
Corpus Callosum, Agenesis of, with Mental Retardation, Ocular Coloboma, and Micrognathia	C564509
Hepatorenal Syndrome	D006530
Atherosclerosis	D050197
Hepatic venoocclusive disease with immunodeficiency	C537257
Pseudoxanthoma Elasticum-Like Disorder with Multiple Coagulation Factor Deficiency	C563654
pancreatitis	D010195
Neural tube defect, folate-sensitive	C536409
loss of visual function	D014786
necrosis	D009336
Cardiomyopathy, Restrictive	D002313
UV-Sensitive Syndrome	C563466
coronary heart disease	D003327
Hemothorax	D006491
Malaria, Vivax	D016780
THIOUREA TASTING	171200
migraine	D008881
Pleuropneumonia	D011001
behavioral depression	D011596
Spondyloepimetaphyseal Dysplasia, X-Linked	C564714
Focal Nodular Hyperplasia	D020518
flushing	D005483
COMPLEMENT COMPONENT 8 DEFICIENCY, TYPE I	613790
Reticuloendotheliosis, familial, with eosinophilia	C538564
Atrial Septal Defect 4	C566963
Carcinoma, Islet Cell	D018273
Cardiac Arrhythmia, Ankyrin-B-Related	C566996
Paramyxoviridae Infections	D018184
MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 2	300868
hyperkinesia	D006948
Hypoventilation	D007040
Mental Retardation, Autosomal Dominant 1	C566947
Facioscapulohumeral muscular dystrophy 1a	C536391
nonsmall cell lung carcinoma	D002289
renal and hepatic failure	D058186
Atrial septal defect 2	C538263
sinus tachycardia	D013616
Neurofibromatosis, Familial Spinal	C563523
Cardiomyopathy, Dilated, 1D	C563306
Flushing	D005483
Parathyroid Neoplasms	D010282
Skin and Connective Tissue Diseases	D017437
infectious mononucleosis	D007244
CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE INTERMEDIATE B	613641
hearing loss	D034381
Prolongation of the QT interval	D008133
Diabetic Cardiomyopathies	D058065
Insulin-Like Growth Factor I, Resistance To	C564816
Wiskott-Aldrich syndrome	D014923
Aggressive behaviors	D001523
hyper- or hypotension	D006973
infection by hepatitis B virus	D006509
impairments in learning and memory	D008569
Fundus Albipunctatus	C562733
Endocrine-Cerebroosteodysplasia	C567210
Bone Demineralization, Pathologic	D018488
Deafness, Autosomal Dominant 12	C563295
Kidney Neoplasms	D007680
Hearing Loss, Conductive	D006314
diastolic dysfunction	D018754
fasciculations	D005207
Scleroatonic muscular dystrophy	C537521
schizophrenic	D012559
Erythema	D004890
Leukokeratosis, Hereditary Mucosal	D053529
polyarteritis nodosa	D010488
Meningitis	D008581
transient hemiparesis	D010291
Congenital Hypothyroidism	D003409
Kidney Cortex Necrosis	D007673
stomatitis	D013280
end-stage hepatic failure	D058625
Granuloma, Laryngeal	D006102
Methylmalonic acidemia with homocystinuria	C537359
WIEDEMANN-STEINER SYNDROME	605130
Neuroectodermal Tumors	D017599
Jaundice, Chronic Idiopathic	D007566
Polyuria	D011141
Macular Dystrophy, Retinal, 2	C562746
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 25, WITH AMELOGENESIS IMPERFECTA	615905
Lymphangioma	D008202
stillbirth	D050497
uremia	D014511
NEPHRONOPHTHISIS 12	613820
myelodysplasia	D009190
Bile acid synthesis defect, congenital, 1	C535442
rotation	D009069
endometrial hyperplasia or cancer	D016889
Leukoplakia	D007971
Epidermolysis Bullosa Simplex	D016110
renal injury	D058186
pathological renal medullary lesions	D058186
Myopathy, Hyaline Body, Autosomal Recessive	C564970
tonic pupillary	D015845
declines in simple and sustained attention, working memory, and verbal memory	D003072
EPIDERMOLYSIS BULLOSA SIMPLEX, GENERALIZED, WITH SCARRING AND HAIR LOSS	617294
Skin Fragility-Woolly Hair Syndrome	C564359
detrimental effect on memory and cognition	D003072
Xeroderma Pigmentosum	D014983
WILMS TUMOR 5	601583
prostate adenocarcinomas	D011471
fatty change	D005234
CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2P	614436
HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT	617384
Mucopolysaccharidosis VII	D016538
ATRIAL FIBRILLATION, FAMILIAL, 15	615770
Chanarin-Dorfman Syndrome	C536560
Maturity-Onset Diabetes Of The Young, Type 9	C567393
impaired memory	D008569
cancer	D009369
Mitochondrial encephalopathy	C538525
Lung agenesis	C562992
Acrocapitofemoral Dysplasia	C564334
Acquired angioedema	C538173
Heavy Metal Poisoning, Nervous System	D020260
erythrodysesthesia	D060831
Transvestism	D014190
Hypoparathyroidism familial isolated	C537156
LEUKODYSTROPHY, HYPOMYELINATING, 10	616420
CATARACT 36	613887
Epidermolysis Bullosa, Junctional	D016109
agitation	D011595
Abnormalities, Drug-Induced	D000014
Exfoliative Ichthyosis, Autosomal Recessive, Ichthyosis Bullosa of Siemens-like	C564309
Korsakoff Syndrome	D020915
HID Syndrome	C566528
GLYCINE ENCEPHALOPATHY WITH NORMAL SERUM GLYCINE	617301
Neoplasms, Multiple Primary	D009378
Platelet Glycoprotein IV Deficiency	C564245
increase in heart rate and cardiac output	D016534
Rheumatoid Arthritis, Systemic Juvenile	C565798
Maturity-Onset Diabetes of the Young, Type 7	C566466
CONE-ROD DYSTROPHY 18	615374
Onchocerciasis	D009855
Panic Disorder	D016584
Lymphadenopathy	D000072281
MENTAL RETARDATION, X-LINKED, SYNDROMIC, BAIN TYPE	300986
Osteopetrosis	D010022
OSTEOMYELITIS, STERILE MULTIFOCAL, WITH PERIOSTITIS AND PUSTULOSIS	612852
Deafness, Autosomal Recessive 7	C563417
Pachyonychia Congenita	D053549
Short QT Syndrome 3	C566504
Alcoholism	D000437
Retroperitoneal Neoplasms	D012186
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 9	614582
Neuropathy, hereditary motor and sensory, Okinawa type	C535717
Sezary Syndrome	D012751
psychopaths	D001523
Complement Component 4, Partial Deficiency Of	C565168
Anisometropia	D015858
psychiatric symptoms	D011618
Liver toxicity	D056486
Appendicitis	D001064
Stomatocytosis I	C566111
Asphyxia Neonatorum	D001238
Psychoses, Alcoholic	D011604
myeloma	D009101
Wasting Syndrome	D019282
Pulmonary Infarction	D054060
Corpus Callosum, Partial Agenesis of, X-Linked	C564115
Heat Stroke	D018883
hypovolemia	D020896
cerebrovascular disease	D002561
proximal motor neuropathy	D009468
cyanosis	D003490
Body Weight	D001835
Blindness, Cortical	D019575
Central Nervous System Infections	D002494
hepatic veno-occlusive disease	D006504
Fractures, Closed	D005596
unstable angina	D000789
neuroleptic malignant syndrome	D009459
Thyroid Hormone Resistance, Selective Pituitary	C564154
Optic Neuritis	D009902
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 46	617162
Hyperphenylalaninemia, BH4-Deficient, B	C562656
Menkes Kinky Hair Syndrome	D007706
Cataracts, Congenital, with Sensorineural Deafness, Down Syndrome-Like Facial Appearance, Short Stature, and Mental Retardation	C563390
Shock, Hemorrhagic	D012771
Kaufman oculocerebrofacial syndrome	C537013
CARDIOMYOPATHY, DILATED, 1KK	615248
Nonseminomatous germ cell tumor	C537844
Kuru	D007729
Thrombophilia, Hereditary, Due To Protein S Deficiency, Autosomal Recessive	C567348
hyperuricemia	D033461
dyspnea	D004417
Thyroid cancer, medullary	C536914
CARDIOMYOPATHY, DILATED, WITH HYPERGONADOTROPIC HYPOGONADISM	212112
hypertrophic cardiomyopathy	D002312
Cardiomyopathy, Dilated, 1BB	C567877
COLOBOMA, OCULAR, WITH OR WITHOUT HEARING IMPAIRMENT, CLEFT LIP/PALATE, AND/OR MENTAL RETARDATION	120433
psychotic symptoms	D011618
Shwachman-Diamond Syndrome	D000081003
MULTIPLE JOINT DISLOCATIONS, SHORT STATURE, AND CRANIOFACIAL DYSMORPHISM WITH OR WITHOUT CONGENITAL HEART DEFECTS	245600
Systemic carnitine deficiency	C536778
Revesz Debuse syndrome	C538371
Holt-Oram syndrome	C535326
Paraparesis	D020335
Gas Poisoning	D005739
mood disorders	D019964
Vocal Cord Paralysis	D014826
BRAIN SMALL VESSEL DISEASE 1 WITH OR WITHOUT OCULAR ANOMALIES	175780
RETINITIS PIGMENTOSA 82 WITH OR WITHOUT SITUS INVERSUS	615434
respiratory and cardiovascular depression	D012140
OOCYTE MATURATION DEFECT 1	615774
Corneal Neovascularization	D016510
Retinal Dysplasia	D015792
ischaemic heart disease	D017202
Respiratory Hypersensitivity	D012130
Elephantiasis, Filarial	D004605
psychomotor retardation	D011596
Ectrodactyly, Ectodermal Dysplasia, and Cleft Lip-Palate Syndrome 3	C565799
Melanoma	D008545
Tuberculosis, Osteoarticular	D014394
Dystonia	D004421
Wernicke's encephalopathy	D014899
impaired renal and liver function	D051437
Cataract, Autosomal Dominant, Multiple Types 1	C566909
Aniridia cerebellar ataxia mental deficiency	C536370
Tinea Versicolor	D014010
Glycogen Storage Disease XIV	C567859
Retinal Dystrophies	D058499
Choreoathetosis, Hypothyroidism, And Neonatal Respiratory Distress	C567034
MANDIBULOFACIAL DYSOSTOSIS, GUION-ALMEIDA TYPE	610536
Diamond-Blackfan Anemia 8	C567253
MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 1	614080
Diarrhea, Infantile	D003968
Congenital disorder of glycosylation type 1B	C535740
ventricular fibrillation	D014693
CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2Q	615025
immune reconstitution syndrome	D054019
Gout, HPRT-Related	C562583
coronary arterial disease	D003324
Choroidal Neovascularization	D020256
Chordoma	D002817
CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IID	617403
Hepatitis, Animal	D006520
Ameloblastoma	D000564
Cardiomyopathy, Dilated, 1i	C565752
Medullary cystic kidney disease 1	C536137
Limb-girdle muscular dystrophy, type 2C	C535900
Lentivirus Infections	D016180
Multiple Pulmonary Nodules	D055613
THYROID CANCER, NONMEDULLARY, 4	616534
Oto-Palato-digital syndrome type 1	C536065
Choroid Diseases	D015862
deficits in communication and social skills	D003147
Mental Retardation, Autosomal Recessive 12	C567019
CATSHL syndrome	C537975
sudden death	D003645
tardive dyskinesia	D004409
EDDs	D003693
Deafness, X-Linked 1	C564433
OROFACIAL CLEFT 15	616788
Tachycardia, Ectopic Atrial	D013612
cardiac diseases	D006331
Epilepsy, Benign Neonatal, 3	C564274
subependymal cysts	D001927
Malignant hyperthermia susceptibility type 5	C535698
Hepatitis A	D006506
Renal Artery Obstruction	D012078
myxoedema coma	D003128
cutaneous lupus erythematosus	D008178
Severe Combined Immunodeficiency	D016511
SPINAL MUSCULAR ATROPHY WITH CONGENITAL BONE FRACTURES 1	616866
Trichuriasis	D014257
ovarian and fallopian tube cancers	D005185
Factor V Deficiency	D005166
Motor Disorders	D000068079
Pedophilia	D010378
Neutropenia, Nonimmune Chronic Idiopathic, Adult	C564320
thalassemic	D013789
Leukemia, Monocytic, Acute	D007948
Intestinal Atresia	D007409
Quincke's disease	D000799
Retinitis Pigmentosa 41	C567422
Myoclonic, atonic, and absence seizures	D004832
KOSAKI OVERGROWTH SYNDROME	616592
Leukemia	D007938
Waardenburg Syndrome, Type 4b	C567680
Altitude Sickness	D000532
Cardiomyopathy, Dilated, 1s	C563538
DEAFNESS, AUTOSOMAL RECESSIVE 4, WITH ENLARGED VESTIBULAR AQUEDUCT	600791
Alcoholic Intoxication	D000435
CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 5	617049
lymphomas	D008223
von Hippel-Lindau Disease	D006623
Isotretinoin embryopathy like syndrome	C535542
acrodermatitis enteropathica	C538178
adenovirus infection	D000257
primary open-angle glaucoma	C562750
MDP	D003865
leukocytosis	D007964
Arteriovenous Malformations	D001165
Retinal cone dystrophy 2	C538363
drowsiness	D006970
ventricular septal and midline defects	D009436
papilledema	D010211
Lymphocytosis	D008218
Posterior leukoencephalopathy	D054038
Pilomatrixoma	D018296
Venous complications	D014652
Charcot-Marie-Tooth disease, Type 2B1	C537990
Tuberous Sclerosis 1	C565346
thrombophlebitis	D013924
Obesity, Morbid	D009767
Granulomatous Disease, Chronic	D006105
Cattle Diseases	D002418
Vitreoretinopathy, Proliferative	D018630
Zellweger Syndrome	D015211
Nephritis, Hereditary	D009394
Wounds, Penetrating	D014950
Esophagitis, Peptic	D004942
Thyroid Hormone Resistance, Generalized, Autosomal Recessive	C567936
Macular Degeneration	D008268
Shy-Drager Syndrome	D012791
Poliomyelitis	D011051
Melanosis	D008548
MENTAL RETARDATION, AUTOSOMAL RECESSIVE 58	617270
septicaemia	D018805
Heart-hand syndrome, Slovenian type	C535852
bipolar I	D001714
Fanconi Anemia, Complementation Group N	C563657
Facial dysmorphism	-1
Pontocerebellar Hypoplasia	C580383
hepatic neoplasms	D008113
Cerebellar and oculomotor dysfunction	D005128
Hemiplegia	D006429
BARDET-BIEDL SYNDROME 5	615983
Genitourinary Tract Anomalies	C564424
Multicystic renal dysplasia, bilateral	C537373
acute myeloid leukemia	D015470
LEUKOENCEPHALOPATHY WITH ATAXIA	615651
IMMUNODEFICIENCY 21	614172
Vohwinkel Syndrome, Variant Form	C565826
Inflammatory Bowel Diseases	D015212
pseudoacromegaly	D004194
nonketotic hyperglycinemia	D020158
Hypertension, Pulmonary	D006976
hemosiderin	D006486
Kohlschutter Tonz syndrome	C537213
ENCEPHALOPATHY DUE TO DEFECTIVE MITOCHONDRIAL AND PEROXISOMAL FISSION 1	614388
Malpuech facial clefting syndrome	C535704
Cataract, zonular	C535342
Colitis, Ischemic	D017091
Uterine Cervicitis	D002575
Lipodystrophy, Congenital Generalized, Type 3	C567282
diabetes	D003920
fetal pulmonary hypertension	D005315
tubulo-interstitial injury	D009395
Otitis Externa	D010032
edema	D004487
MACULAR DEGENERATION, EARLY-ONSET	616118
Choreatiform hyperkinesias	D002819
brain tumors	D001932
Microphthalmia, syndromic 1	C537464
Craniosynostosis radial aplasia syndrome	C536788
Fibroma	D005350
choreoathetosis	D001264
Solitary Fibrous Tumors	D054364
diarrhea	D003967
psychotic	D011618
bone marrow oedema	D001855
Coccidiosis	D003048
Facial ectodermal dysplasia	C536385
Venous Thromboembolism	D054556
Cardiomyopathy, Dilated, 1DD	C567725
Carney-Stratakis Syndrome	C564650
ventricular tachycardia and fibrillation	D017180
Crigler Najjar syndrome, type 2	C536213
gestational trophoblastic disease	D031901
Blood Loss, Surgical	D016063
Porcine Reproductive and Respiratory Syndrome	D019318
Thyroiditis	D013966
Edema	D004487
Pituitary ACTH Hypersecretion	D047748
Seborrhea-Like Dermatitis with Psoriasiform Elements	C565217
acute cardiovascular failure	D002318
Suppuration	D013492
TLS	D015275
pancytopenia	D010198
MENTAL RETARDATION, X-LINKED 90	300850
Sclerosteosis	C537525
FANCONI ANEMIA, COMPLEMENTATION GROUP E	600901
CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2O	614228
reduction in glomerular number	D007674
Hyperparathyroidism, Neonatal Severe Primary	C563375
Cardiomyopathy, Dilated, 1N	C564388
telangiectasis	D013684
LYMPHATIC MALFORMATION 6	616843
Sinus Thrombosis, Intracranial	D012851
Purpura, Thrombocytopenic, Idiopathic	D016553
Spastic paraplegia 20, autosomal recessive	C536858
Common Cold	D003139
Down Syndrome	D004314
Prinzmetal's variant angina	C536421
Supratentorial Neoplasms	D015173
SPLIT-FOOT MALFORMATION WITH MESOAXIAL POLYDACTYLY	616890
Camptosynpolydactyly, Complex	C564383
Ventricular tachyarrhythmias	D014693
ABDOMINAL OBESITY-METABOLIC SYNDROME 3	615812
Stargardt Disease	D000080362
demyelinating disorder	D003711
Isobutyryl-CoA dehydrogenase deficiency	C535541
pulmonary toxicity	D008171
Acute neurologic dysfunction	D009422
Prediabetic State	D011236
optic neuropathy	D009901
Periodontal Diseases	D010510
Growth retardation	D005317
Leukocyte-Adhesion Deficiency Syndrome	D018370
CILIARY DYSKINESIA, PRIMARY, 33	616726
Urinary bladder cancer	D001749
Hypertension, Portal	D006975
PEROXISOME BIOGENESIS DISORDER 5B	614867
Compression neuropathy of the radial nerve	D009408
Brain Hemorrhage, Traumatic	D020201
decrease in arterial blood pressure	D007022
PITT-HOPKINS-LIKE SYNDROME 2	614325
EPISODIC PAIN SYNDROME, FAMILIAL, 2	615551
focal segmental glomerular sclerosis	D005923
cerebral and pulmonary hemorrhage	D002543
malignancies	D009369
Nephrotoxicity	D007674
lateral epicondylitis	D013716
manic depression	D001714
Orofaciodigital syndrome 6	C536531
sexual dysfunction	D012735
lupus-like syndrome	D008180
Leber Congenital Amaurosis 13	C567197
SEIZURES, BENIGN FAMILIAL NEONATAL, 1	121200
Brugada Syndrome 5	C567556
hepatomas	D006528
Long Qt Syndrome 6	C566333
Fraser Syndrome	D058497
Joubert Syndrome 10	C567582
vomitus	D014839
Lymphoma	D008223
Corneal Dystrophy, Fuchs Endothelial, 6	C567675
male impotence	D007172
Activated Protein C Resistance	D020016
asystole	D006323
Long Qt Syndrome 5	C566766
Hyperinsulinemic Hypoglycemia, Familial, 4	C566493
renal damages	D007674
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 14	614946
IMMUNODEFICIENCY 54	609981
Gonadal Dysgenesis	D006059
impaired learning and memory	D007859
cardiac arrhythmia	D001145
Granulosa Cell Tumor	D006106
cortical dysplasia	D054220
Dyssomnias	D020920
Biliary Atresia	D001656
Azoospermia, Nonobstructive	C564665
Nail Diseases	D009260
Wieacker syndrome	C536703
palpebral twitching	D004409
Cardiomyopathy, Hypertrophic, Familial	D024741
gallbladder disease	D005705
malignant gliomas	D005910
obstructive sleep apnea	D020181
Foot Diseases	D005534
Sturge-Weber Syndrome	D013341
hematomas	D006406
leukemoid reaction	D007955
IMMUNODEFICIENCY 26 WITH OR WITHOUT NEUROLOGIC ABNORMALITIES	615966
BESTROPHINOPATHY, AUTOSOMAL RECESSIVE	611809
Mediastinitis	D008480
MYOPATHY, MYOFIBRILLAR, FATAL INFANTILE HYPERTONIC, ALPHA-B CRYSTALLIN-RELATED	613869
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 7	613720
MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 1	604273
PERIPHERAL NEUROPATHY, MYOPATHY, HOARSENESS, AND HEARING LOSS	614369
cognitive, motivational, or creative deficits	D003072
venous congestion	D006940
Leiomyosarcoma	D007890
Rothmund-Thomson Syndrome	D011038
CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND CEREBELLAR ATAXIA	616819
death	D003643
allergic reactions	D004342
Adenoma, Acidophil	D000239
Dyskinetic	D004409
Rhabdomyosarcoma, Alveolar	D018232
Adenocarcinoma, Papillary	D000231
tenderness	-1
Endomyocardial Fibrosis	D004719
metabolic acidosis	D000138
Tuberculosis, Central Nervous System	D020306
NEPHROTIC SYNDROME, TYPE 12	616892
retinal toxicity	D012164
WEBB-DATTANI SYNDROME	615926
Attention Deficit Disorder with Hyperactivity	D001289
NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPERKINETIC MOVEMENTS AND SEIZURES, AUTOSOMAL DOMINANT	614254
Mediastinal Neoplasms	D008479
Nerve Compression Syndromes	D009408
Myopathy, X-Linked, with Excessive Autophagy	C564093
ventricular ectopic beats	D018879
Heart Septal Defects	D006343
Dirofilariasis	D004184
mesenchymal tumors	C535700
Hemochromatosis, Type 2B	C566557
Adrenal Gland Diseases	D000307
cognitive and functional impairments	D003072
myxomatous degeneration	-1
FEBRILE SEIZURES, FAMILIAL, 11	614418
Neoplasms	D009369
central nervous system leukemia	D002493
CARBONIC ANHYDRASE VA DEFICIENCY, HYPERAMMONEMIA DUE TO	615751
DM	D003920
Postphlebitic Syndrome	D011186
DEAFNESS, AUTOSOMAL RECESSIVE 18A	602092
Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy	C537313
pericarditis	D010493
postoperative delirium	D011183
Arthritis, Reactive	D016918
Inflammatory Bowel Disease 25, Autosomal Recessive	C567251
CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2X	616668
Anodontia	D000848
Gerstmann Syndrome	D005862
Whooping Cough	D014917
Aneurysm, Ruptured	D017542
Laryngismus	D007826
Central nervous system and cardiac toxicity	D066126
pseudoprolactinoma	-1
Seizure	D012640
PAGET DISEASE OF BONE 5, JUVENILE-ONSET	239000
submucosal hemorrhage	D006470
RETINAL DYSTROPHY, JUVENILE CATARACTS, AND SHORT STATURE SYNDROME	616108
Laron syndrome type 2	C537871
Abruzzo Erickson syndrome	C535559
cerebral sinus thrombosis	D012851
RETINITIS PIGMENTOSA 58	613617
Urinary Tract Infections	D014552
RETINITIS PIGMENTOSA 55	613575
HYPEROXALURIA, PRIMARY, TYPE III	613616
Hypertriglyceridemia	D015228
Pulmonary Veno-Occlusive Disease	D011668
Bardet-Biedl Syndrome	D020788
Neurodegenerative Diseases	D019636
NIN	D009759
Epileptic	D004827
Male Infertility with Large-Headed, Multiflagellar, Polyploid Spermatozoa	C562903
Atrial Premature Complexes	D018880
Asthenia	D001247
Spinal Muscular Atrophy, Proximal, Adult, Autosomal Dominant	C566672
MITOCHONDRIAL DNA DEPLETION SYNDROME 4B (MNGIE TYPE)	613662
Hepatic Encephalopathy	D006501
interstitial nephritis	D009395
Carotid Intimal Medial Thickness 1	C563733
Pulmonary edema of mountaineers	C535833
Mental Retardation, X-Linked 72	C564547
FANCONI ANEMIA, COMPLEMENTATION GROUP L	614083
